,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-873780453963615794,-873780453963615794,Startup uses deep learning to let you shop for items by snapping photos,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce,Operator fuses bots with humans to build cyborg shopping experts,Infographic Dutch Fintech Scene - HollandFintech.com,Netshoes é grande vencedora do Prêmio BR Week 2016
-862645085190435621,-862645085190435621,7 Questions to Ask Before Your Next Digital Transformation,The omnichannel customer experience is poised to take off in regulated industries,Why the customer experience matters,Five things to include in your digital transformation playbook,America's allies are preparing for a bumpy ride
-861913102049789637,-861913102049789637,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Google connects BigQuery to Google Drive and Sheets,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI
-860751600992244121,-860751600992244121,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English,Twitter adds a button to help you train its algorithm
-825802007843492131,-825802007843492131,"[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",[Event] CuboTalks,Sony Smart Tennis Sensor for Tennis Rackets,[Tools] 7 Ferramentas Gratuitas para Criar Diagramas de Processos com BPMN,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera
-823697973575832204,-823697973575832204,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Chrome OS now has Material Design for the desktop,"Hello, a nova rede social do Orkut, está liberada no Brasil",The new 64-bit Orange Pi is a quad-core computer for $20,"Android N Developer Preview 2, out today! | Android Developers Blog"
-820343972901090172,-820343972901090172,Post: Just Say mNo to Hungarian Notation,Pull request first - Practical Blend,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,The Importance of Code Reviews,Clean Coder Blog
-817129654810180675,-817129654810180675,Google Cloud Platform: The smart person's guide - TechRepublic,"How to build a robot that ""sees"" with $100 and TensorFlow",15 Interesting JavaScript and CSS Libraries for October 2016,Dark Scrum,The Java 8 API Design Principles
-816352740763488513,-816352740763488513,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,The Future of Pen: Windows Ink,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Desenvolvimento Efetivo na Plataforma Microsoft: o livro.
-799315203186826480,-799315203186826480,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-793729620925729327,-793729620925729327,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Elastic Stack 5.0.0 Released,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Chrome OS now has Material Design for the desktop,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger
-790959521412948853,-790959521412948853,Elastic Stack 5.0.0 Released,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Chrome OS now has Material Design for the desktop,The new 64-bit Orange Pi is a quad-core computer for $20,O RH chega ao board
-788035419968530567,-788035419968530567,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Accenture amplia atuação no Brasil,You won't recognize the new world of digital payments without this report,Meet the new Brazilian consumer,Bitcoin In The Time Of Negative Interest Rates
-782975839522191154,-782975839522191154,Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,Facebook cria e-commerce para concorrer com eBay,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,What Happens When No One and Everyone Owns a Product? - Built to Adapt
-759389978085260161,-759389978085260161,How Coca-Cola Is Harvesting Innovation Energy From Startups,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Stop Trying to Sound Smart When You're Writing,Rating the English Proficiency of Countries and Industries Around the World,Portugal runs for four days straight on renewable energy alone
-746073086109727488,-746073086109727488,Meio&Mensagem,Can Accenture Take Over Advertising?,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",Digital Leadership Is Not an Optional Part of Being a CEO,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
-742603651309629354,-742603651309629354,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-730957269757756529,-730957269757756529,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Cientistas trabalham em técnica que permite imprimir alimentos,A importância dos filmes de mulherzinha - Capitolina
-729129249377835720,-729129249377835720,5 formas de tornar-se um Mestre em planejamento com o Portfolio for JIRA,[eBook] Enxugando a máquina - Paulo Caroli,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Onde está o duplo diamante do DT em projetos ágeis,5 Podcasts : Aprenda mais sobre gestão e liderança
-724699218170106849,-724699218170106849,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule
-721732705314803549,-721732705314803549,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,What's the Version of my Deployed Application? - DZone DevOps,Monitoramento em tempo real com Elasticsearch e Kibana,Creating a scalable API with microservices,The Definitive Guide to Database Version Control
-703416562539077070,-703416562539077070,Practical VPC Design - AWS Startup Collection,Migrating to the New Java 8 Date Time API | Baeldung,Uma recepção eficiente,Building Spring Cloud Microservices That Strangle Legacy Systems,"Bots, Messenger and the future of customer service"
-692972306229904743,-692972306229904743,Itaú é pioneiro do blockchain,Bitcoin In The Time Of Negative Interest Rates,Nubank pode fechar as portas se BC confirmar mudança amanhã,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
-686679025328909441,-686679025328909441,O IPO é a saída para a Netshoes?,Netshoes e Zattini anunciam 30 dias de Black Friday,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce,#188. Profissão: Gerente de Projetos by brains9,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016
-667193404227875686,-667193404227875686,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",New free Trend Briefing from TrendWatching | INNOVATION CELEBRATION 2016,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Visa lança desafio para startups de tecnologia - Startupi
-662806181534790446,-662806181534790446,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Confused by blockchains? Revolution vs Evolution,OpenBazaar is Open for Business,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess
-655909700262679295,-655909700262679295,Visa lança desafio para startups de tecnologia - Startupi,3M e o perfil intraempreendedor | Endeavor Brasil,Number26 raises another $40 million for its vision for the future of banking,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017
-635870441391555852,-635870441391555852,Webinars | MATERA Systems,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Brasileira do rúgbi é pedida em casamento durante premiação,"Simple rolls out shared bank accounts that work for anyone, including roommates","Elopar lança o ""Digio"", cartão para brigar com Nubank"
-624901815223005993,-624901815223005993,8 Best Machine Learning Cheat Sheets,Bringing Pokémon GO to life on Google Cloud,Google's new translation software is almost as good as human translators,A Beginner's Guide To Understanding Convolutional Neural Networks,Blaise Agüera y Arcas: How computers are learning to be creative
-615912190028612956,-615912190028612956,What Science Tells Us About Leadership Potential,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-615862350872519037,-615862350872519037,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,What Happens When No One and Everyone Owns a Product? - Built to Adapt,Netshoes e Zattini anunciam 30 dias de Black Friday,O IPO é a saída para a Netshoes?,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso
-614408900691920886,-614408900691920886,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,[FILME] - The Hammer,"Apple's new file manager, APFS, is awesome",Optimizing Elasticsearch Searches
-605114438206384896,-605114438206384896,Everything you need to know about the big changes coming to Newark airport,Manhattan CRE prices spark a mass exodus of startups to Brooklyn,"Google's head of advertising talks ad blocking, mobile and micropayments",How to Get a Job at Google,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
-601952361752157430,-601952361752157430,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",The Secret History of Agile Innovation,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Google's AI engine is reading 2,865 romance novels to be more conversational","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
